Activity ID;Activity Name;Description HrRest;Begin Timestamp;Begin Timestamp (Raw Milliseconds);End Timestamp;End Timestamp (Raw Milliseconds);Device;Activity Parent;Activity Type;Event Type;Activity Time Zone;Max. Elevation;Max. Elevation (Raw);Begin Latitude (Decimal Degrees Raw);Begin Longitude (Decimal Degrees Raw);End Latitude (Decimal Degrees Raw);End Longitude (Decimal Degrees Raw);Average Moving Speed;Average Moving Speed (Raw);Max. Heart Rate (bpm);Average Heart Rate (bpm);Max. Speed;Max. Speed (Raw);Calories;Calories (Raw);Duration (h:m:s);Duration (Raw Seconds);Moving Duration (h:m:s);Moving Duration (Raw Seconds);Average Speed;Average Speed (Raw);Distance;Distance (Raw);Min. Heart Rate (bpm);Min. Elevation;Min. Elevation (Raw);Elevation Gain;Elevation Gain (Raw);Elevation Loss;Elevation Loss (Raw);VO2Max;TrainingEffect
"2028338042";"Srebrna Góra Biegi";"";"So, wrz 30, 2017 9:04";"1506755066000";"So, wrz 30, 2017 9:35";"1506756953000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"321 Metry";"320.61";"50.50964414142072";"16.729358732700348";"50.50982728600502";"16.72953181900084";"05:50";"5.82846682137552";"164";"144";"03:13";"3.218124538684516";"329";"329.11537415095876";"00:31:26";"1886.153";"00:31:27";"1887.0";"05:50 Minuty na kilometr";"5.82546882597283";"5.40 Kilometry";"5.39593";"89";"321 Metry";"320.61";"81 Metry";"80.93";"83 Metry";"82.8";"3.50";"50.0"
"2009571194";"Siechnice Biegi";"";"Cz, wrz 28, 2017 6:46";"1506573979000";"Cz, wrz 28, 2017 7:20";"1506576000000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.61";"51.015581768006086";"17.169722383841872";"51.015428714454174";"17.170071993023157";"05:55";"5.920881940279607";"152";"139";"04:23";"4.377900448916245";"327";"326.9674130433745";"00:33:41";"2021.147";"00:33:40";"2020.0";"05:55 Minuty na kilometr";"5.92487269156837";"5.69 Kilometry";"5.68609";"84";"122 Metry";"121.61";"2 Metry";"1.86";"4 Metry";"3.92";"3.00";"50.0"
"2007815766";"Siechnice Biegi";"";"Śr, wrz 27, 2017 17:20";"1506525622000";"Śr, wrz 27, 2017 17:52";"1506527529000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.59";"51.015363754704595";"17.170145753771067";"51.015466852113605";"17.170099820941687";"05:27";"5.445325959603149";"157";"145";"03:04";"3.069367807285188";"329";"329.11537415095876";"00:31:47";"1907.102";"00:31:47";"1907.0";"05:27 Minuty na kilometr";"5.44484353959798";"5.84 Kilometry";"5.83681";"94";"122 Metry";"121.59";"1 Metry";"1.03";"3 Metry";"3.33";"3.40";"50.0"
"1997313591";"Siechnice Biegi";"";"Pn, wrz 25, 2017 7:09";"1506316162000";"Pn, wrz 25, 2017 7:44";"1506318269000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.63";"51.01552192121744";"17.169716097414494";"51.01539962925017";"17.170090349391103";"05:50";"5.837507653529988";"156";"141";"03:00";"2.9970629482799587";"350";"350.1176605362266";"00:35:07";"2107.146";"00:35:04";"2104.0";"05:50 Minuty na kilometr";"5.839756878773985";"6.01 Kilometry";"6.00713";"88";"122 Metry";"121.63";"";"";"2 Metry";"2.06";"3.30";"50.0"
"1997313576";"Srebrna Góra Biegi";"";"N, wrz 24, 2017 8:04";"1506233046000";"N, wrz 24, 2017 8:36";"1506234996000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"316 Metry";"316.11";"50.509690660983324";"16.729469541460276";"50.509729804471135";"16.729583367705345";"06:05";"6.081301871313254";"156";"140";"01:19";"1.3173147410566777";"323";"322.91015317349326";"00:32:30";"1950.162";"00:32:29";"1949.0";"06:05 Minuty na kilometr";"6.084945661775763";"5.34 Kilometry";"5.34151";"88";"316 Metry";"316.11";"76 Metry";"75.7";"81 Metry";"81.28";"3.10";"50.0"
"1989509727";"Siechnice Biegi";"";"Cz, wrz 21, 2017 6:40";"1505968813000";"Cz, wrz 21, 2017 7:13";"1505970822000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.61";"51.01515060290694";"17.170165618881583";"51.015560645610094";"17.169974176213145";"05:48";"5.807866268853677";"144";"127";"02:47";"2.7908014611508136";"327";"326.9674130433745";"00:33:29";"2008.816";"00:33:28";"2008.0";"05:49 Minuty na kilometr";"5.809225134343483";"5.76 Kilometry";"5.7623";"81";"122 Metry";"121.61";"2 Metry";"1.94";"4 Metry";"4.07";"3.10";"50.0"
"1986681177";"Siechnice Biegi";"";"Wt, wrz 19, 2017 17:29";"1505834975000";"Wt, wrz 19, 2017 18:03";"1505837032000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.65";"51.015340285375714";"17.170096887275577";"51.01813129149377";"17.168225795030594";"05:42";"5.704152212525663";"161";"143";"05:09";"5.1472103454718185";"352";"352.02695929852365";"00:34:17";"2056.627";"00:34:16";"2056.0";"05:42 Minuty na kilometr";"5.705808505614766";"6.01 Kilometry";"6.00732";"82";"122 Metry";"121.65";"2 Metry";"2.48";"5 Metry";"5.35";"3.30";"50.0"
"1984943700";"Siechnice Biegi";"";"Pn, wrz 18, 2017 18:05";"1505750718000";"Pn, wrz 18, 2017 18:40";"1505752833000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.68";"51.01537733338773";"17.170137790963054";"51.0155500844121";"17.169990772381425";"05:46";"5.760217999739725";"153";"141";"04:02";"4.0325833733389675";"350";"350.1176605362266";"00:35:14";"2114.469";"00:35:15";"2115.0";"05:46 Minuty na kilometr";"5.759041589184748";"6.12 Kilometry";"6.11956";"95";"122 Metry";"121.68";"4 Metry";"3.63";"6 Metry";"5.57";"3.10";"50.0"
"1984943599";"Srebrna Góra Biegi";"";"So, wrz 16, 2017 7:02";"1505538129000";"So, wrz 16, 2017 7:37";"1505540256000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"377 Metry";"377.47";"50.509479185566306";"16.72965737991035";"50.509551940485835";"16.72939938493073";"05:49";"5.8143146029477695";"157";"140";"02:53";"2.8855032203294217";"350";"350.1176605362266";"00:35:26";"2126.265";"00:34:56";"2096.0";"05:54 Minuty na kilometr";"5.897617414331645";"6.01 Kilometry";"6.00816";"79";"377 Metry";"377.47";"209 Metry";"209.49";"212 Metry";"212.0";"3.20";"51.0"
"1977378818";"Siechnice Biegi";"";"Cz, wrz 14, 2017 18:48";"1505407682000";"Cz, wrz 14, 2017 19:21";"1505409699000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.72";"51.01552225649357";"17.170050786808133";"51.015531811863184";"17.170037794858217";"05:28";"5.47403309010237";"162";"132";"04:43";"4.7134238132736614";"353";"352.9816086796722";"00:33:36";"2016.222";"00:33:06";"1986.0";"05:33 Minuty na kilometr";"5.557407890586836";"6.05 Kilometry";"6.04673";"69";"122 Metry";"121.72";"2 Metry";"2.24";"4 Metry";"4.24";"3.50";"50.0"
